id,label,text,clean_text,cl_data
0,0,@poojitha subbaiah Hai ennane ullira,poojitha subbaiah Hai ennane ullira,"1,1,6,6,6,6,6,6,6,2,6,3,3,3,3,3,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1"
1,1,Namma galli goo bandiddru ashwatthama,Namma galli goo bandiddru ashwatthama,"1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1,1,1,2,4,4,4,2,4,1,1,1,1,1,1,1,2"
2,0,Ella hantha hellodakke hagodilla eddaru erabhahudu e prapancha ne ondu maye yavudakku uttara sigodilla nambikene ella,Ella hantha hellodakke hagodilla eddaru erabhahudu e prapancha ne ondu maye yavudakku uttara sigodilla nambikene ella,"1,1,1,2,1,1,1,1,4,4,4,1,1,1,1,1,1,7,7,7,7,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,8,8,4,4,4,4,4,1,1,3,3,3,3,3,3,1,1,1,2,2,2,2,1,1,1,3,3,1,1,1,1,1,1,3,3,24,24,24,24,24,24,24,12,12,12,12,12,12,4,4,4,4,8,8,8,8,8,2,1,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,1"
3,0,Satyana edu devare,Satyana edu devare,"5,5,5,5,5,1,1,1,3,3,1,1,1,5,5,5,5,5"
4,0,ನಂಬಲಾದ ವಿಸ್ಮಯ ಸಂಗತಿಗಳು ಅದೆಷ್ಟು ಇವೆ ನಂಬಲು ಆಗದೆ ಇದ್ದರು ಸತ್ಯವೇ ಆಗಿರುತ್ತವೆ,ನಂಬಲಾದ ವಿಸ್ಮಯ ಸಂಗತಿಗಳು ಅದೆಷ್ಟು ಇವೆ ನಂಬಲು ಆಗದೆ ಇದ್ದರು ಸತ್ಯವೇ ಆಗಿರುತ್ತವೆ,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1"
5,0,Kathe tumba ista aythu..,Kathe tumba ista aythu,"1,4,4,4,1,1,1,1,1,1,1,1,4,2,1,1,1,3,3,3,3,1"
6,0,ಗುರು ಇದನ್ನು ಮಾಧ್ಯಮದವರು ಸರೆ ಹಿಡ್ದಿರೋ ದೃಶ್ಯ ಇದ್ರೆ ಹಾಕು ಗುರು.,ಗುರು ಇದನ್ನು ಮಾಧ್ಯಮದವರು ಸರೆ ಹಿಡ್ದಿರೋ ದೃಶ್ಯ ಇದ್ರೆ ಹಾಕು ಗುರು,"1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1"
7,0,Howdu brother nanu tv nalli nodidde evru elidnella avru elidru,Howdu brother nanu tv nalli nodidde evru elidnella avru elidru,"1,1,4,4,4,4,2,2,4,4,4,4,4,4,8,8,8,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,2,1,4,4,2,1,1,1,1,1,1,2,1"
8,0,ಕಿರಣ್ ಶಾಲಿ... ಇಲ್ಲಿ ಕೊಟ್ಟಿದೀನಿ ನೋಡು ಈ ಲಿಂಕ್  ಕ್ಲಿಕ್ ಮಾಡು,ಕಿರಣ್ ಶಾಲಿ ಇಲ್ಲಿ ಕೊಟ್ಟಿದೀನಿ ನೋಡು ಈ ಲಿಂಕ್ ಕ್ಲಿಕ್ ಮಾಡು,"1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1"
9,1,@vinay vinu ಅಶ್ವತ್ಥಾಮ ಹೇಗೆ ಚಿರಂಜೀವಿಯೋ ಹಾಗೆಯೇ ಭಗವಾನ್ ಪರಶುರಾಮರು ಚಿರಂಜೀವಿನೆ ಅಲ್ವಾ... ಹೇಗಾದ್ರು ಮಾಡಿ ಅವರ ಹತ್ರ ಇರೋ ಅಸ್ತ್ರಗಳನ್ನು ಪ್ರಯೋಗಿಸಿ ಪಾಕಿಸ್ತಾನದ ಉಗ್ರಗಾಮಿಗಳನ್ನ ನಾಶ ಮಾಡೋಕ್ಕಾಗಲ್ವ...,vinay vinu ಅಶ್ವತ್ಥಾಮ ಹೇಗೆ ಚಿರಂಜೀವಿಯೋ ಹಾಗೆಯೇ ಭಗವಾನ್ ಪರಶುರಾಮರು ಚಿರಂಜೀವಿನೆ ಅಲ್ವಾ ಹೇಗಾದ್ರು ಮಾಡಿ ಅವರ ಹತ್ರ ಇರೋ ಅಸ್ತ್ರಗಳನ್ನು ಪ್ರಯೋಗಿಸಿ ಪಾಕಿಸ್ತಾನದ ಉಗ್ರಗಾಮಿಗಳನ್ನ ನಾಶ ಮಾಡೋಕ್ಕಾಗಲ್ವ,"12,12,12,12,12,12,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12"
10,1,@Kiran Shali ಲೈ  ತಗಡು ನೀನು ಹಿಂದು ಧರ್ಮದ್ವನೆನೊ ಆಥವಾ  cross ನೀನು,Kiran Shali ಲೈ ತಗಡು ನೀನು ಹಿಂದು ಧರ್ಮದ್ವನೆನೊ ಆಥವಾ cross ನೀನು,"5,5,5,5,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,6,3,3,1,1,1,1,1,1,1,1,5"
11,1,@vinay vinu ಇವ್ನು ಯಾರ್ ಗುರು ನಂದೆಲ್ಲಿ ಇಡ್ಲಿ ಅಂತವ್ನೆ,vinay vinu ಇವ್ನು ಯಾರ್ ಗುರು ನಂದೆಲ್ಲಿ ಇಡ್ಲಿ ಅಂತವ್ನೆ,"1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
12,1,@Kiran Shali ಲೈ ಶ್ಯಾಟ ..... ನಿನ್ ಅಯ್ಯನ್.... ಯಾವ ಪ್ರಶ್ನೆ  ಕೆಳ್ದೆ ನೀನು  ಕೋಡು ನಿನ್ ನಂಬರ್ ಇಲ್ಲಾ  ಆಡ್ರಸ್ ಕೋಡು ದೆವ್ರಾಣೆ ಡೈರೆಕ್ಟ್ ಆಗಿ ಉತ್ತರ ಕೊಡ್ತೀನಿ....,Kiran Shali ಲೈ ಶ್ಯಾಟ ನಿನ್ ಅಯ್ಯನ್ ಯಾವ ಪ್ರಶ್ನೆ ಕೆಳ್ದೆ ನೀನು ಕೋಡು ನಿನ್ ನಂಬರ್ ಇಲ್ಲಾ ಆಡ್ರಸ್ ಕೋಡು ದೆವ್ರಾಣೆ ಡೈರೆಕ್ಟ್ ಆಗಿ ಉತ್ತರ ಕೊಡ್ತೀನಿ,"1,3,3,3,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
13,1,@vinay vinu nice comedy man....     ನಾನ್ ಕೇಳೋ ಪ್ರಶ್ನೆಗೆ ಉತ್ತರ ಹೇಳೋಕೆ ಆಗ್ದಲೆ ಇರೋ ನನ್ನ ಬಂದು ಏನೋ ಮಾಡ್ತಿಯ ಪಾಪ..  ನಿನ್ ನೋಡಿದ್ರೆ ಅಯ್ಯೋ ಅನ್ಸುತ್ತೆ...,vinay vinu nice comedy man ನಾನ್ ಕೇಳೋ ಪ್ರಶ್ನೆಗೆ ಉತ್ತರ ಹೇಳೋಕೆ ಆಗ್ದಲೆ ಇರೋ ನನ್ನ ಬಂದು ಏನೋ ಮಾಡ್ತಿಯ ಪಾಪ ನಿನ್ ನೋಡಿದ್ರೆ ಅಯ್ಯೋ ಅನ್ಸುತ್ತೆ,"1,1,1,3,3,1,1,1,1,7,7,7,7,7,7,7,7,7,1,1,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1"
14,1,ಗುರು ನಿಮ್ಗೆ ಡೌಟ,ಗುರು ನಿಮ್ಗೆ ಡೌಟ,"1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1"
15,0,Bro z news(Hindi) channel Alli nodi,Bro z newsHindi channel Alli nodi,"4,2,1,1,1,1,1,3,3,3,1,1,1,2,1,2,2,2,2,1,2,1,1,1,1,1,2,1,2,1,1,1,4"
16,1,Ayyo guru... Yelli tanka jana moodnambke bidalvo alli tanka inta shatnayakru useless videos haktane irrtare guru.nMahabharata tumba olle moral story. Jeevanakke bekagiro tumba paata ide idralli. Adunella use madkondu olle jeevna madbeku aste.,Ayyo guru Yelli tanka jana moodnambke bidalvo alli tanka inta shatnayakru useless videos haktane irrtare guru nMahabharata tumba olle moral story Jeevanakke bekagiro tumba paata ide idralli Adunella use madkondu olle jeevna madbeku aste,"1,12,12,12,12,12,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,30,30,30,30,30,30,30,30,30,3,3,3,3,3,1,3,3,3,12,12,12,4,2,4,4,1,1,7,7,7,7,1,1,1,5,5,5,15,15,15,15,15,3,3,3,3,3,1,1,3,3,3,1,1,3,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,6,3,3,3,3,1,1,1,1,1,8,8,8,8,8,8,8,8,8,2,1,2,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,3,3,9,9,9,9,9,1,1,1,4,4,2,2,1,1,1,5,5,5,5,5,5,1,1,1,1,1,1,1,3,3,1,1,1,4,4,4,4,2,2,1,1,1,1,1,1,5,5,5,5,5,5,5,5,1"
17,1,@vinay vinu  Hindu Muslim Cristian etc etc... Yella naav naav madkondirodu. Yella manushyaru onde,vinay vinu Hindu Muslim Cristian etc etc Yella naav naav madkondirodu Yella manushyaru onde,"1,1,1,2,1,2,2,1,2,1,1,1,1,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,3,1,1,1,1,1,1,1,1,1,16,16,16,16,16,16,16,16,4,2,4,4,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,3,3,1,15,15,15,15,15,15,15,15,3,3,6,2,1,1"
18,0,@vinay vinu kanditha bro shigradalli,vinay vinu kanditha bro shigradalli,"3,3,3,3,3,1,1,1,1,3,3,3,3,1,1,4,4,4,4,1,2,2,4,4,2,6,6,3,3,3,1,1,1,1,3"
19,1,Nanage nambalu sadyavaguttilla ...adakkagi ondu balavada karana athava kuruhu beku next vedio dalli haki I am waiting,Nanage nambalu sadyavaguttilla adakkagi ondu balavada karana athava kuruhu beku next vedio dalli haki I am waiting,"1,1,1,2,1,1,1,1,2,1,1,1,1,4,4,2,18,18,18,18,3,3,3,3,3,6,6,6,1,1,1,24,24,24,24,24,24,2,1,2,1,1,1,3,3,3,3,1,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,6,6,6,6,6,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,8,8,1,1,1,3,3,6,6,2,1,2,1"
20,0,ಜಾಸ್ತಿ ಕಾಯುಬೇಡಿ ಈ ವಿಡಿಯೋ ನೋಡಿ   ಹೆಸರಾಂತ ಹಿಂದಿ ಟಿವಿ ಚಾನೆಲ್ ಜಿ ನ್ಯೂಸ್ ನವರು ಸೆರೆ ಹಿಡಿದಂತಹ ನೈಜ ಘಟನೆ,ಜಾಸ್ತಿ ಕಾಯುಬೇಡಿ ಈ ವಿಡಿಯೋ ನೋಡಿ ಹೆಸರಾಂತ ಹಿಂದಿ ಟಿವಿ ಚಾನೆಲ್ ಜಿ ನ್ಯೂಸ್ ನವರು ಸೆರೆ ಹಿಡಿದಂತಹ ನೈಜ ಘಟನೆ,"1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1"
21,0,ಅವನು ಚಿರಂಜೀವಿ ಅದಕ್ಕೊಸ್ಕರ ಸಾಯದೆ  ದೇಶವನ್ನು ಸುತ್ತಾಡುತ್ತಾ ಇರ್ತಾರೆ,ಅವನು ಚಿರಂಜೀವಿ ಅದಕ್ಕೊಸ್ಕರ ಸಾಯದೆ ದೇಶವನ್ನು ಸುತ್ತಾಡುತ್ತಾ ಇರ್ತಾರೆ,"1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
22,1,O mareya ava chiranjeevi alla shaapa erutte,O mareya ava chiranjeevi alla shaapa erutte,"30,30,30,30,30,30,30,30,1,1,1,1,1,2,2,2,2,10,10,10,5,5,5,5,5,5,5,1,1,1,2,2,2,2,2,12,12,12,3,3,3,30,30"
23,0,@Rajashekar Khandare ಕ್ರಷ್ಣನೇ ಶಾಪ ಕೊಡುವುದು ...ಮಯ್ಯಲ್ಲಿ ಕೀವು ತುಂಬಿ ಚಿರಂಜೀವಿ ಆಗಿ ತಿರುಗಾಡುತ್ತಾ ಇರು ಅಂತ....,Rajashekar Khandare ಕ್ರಷ್ಣನೇ ಶಾಪ ಕೊಡುವುದು ಮಯ್ಯಲ್ಲಿ ಕೀವು ತುಂಬಿ ಚಿರಂಜೀವಿ ಆಗಿ ತಿರುಗಾಡುತ್ತಾ ಇರು ಅಂತ,"2,1,2,2,2,20,20,20,20,20,20,20,1,1,1,4,4,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2"
24,0,@Rajashekar Khandare Houdu sir ashwathamanige chiranjivi vara ide adakke avanige sri krishna aatara shrapa kottiddu ashwatama shivana innondu rudra avtara,Rajashekar Khandare Houdu sir ashwathamanige chiranjivi vara ide adakke avanige sri krishna aatara shrapa kottiddu ashwatama shivana innondu rudra avtara,"6,6,2,2,2,20,20,20,20,20,20,20,1,1,1,4,4,2,1,1,1,1,4,4,4,4,2,2,2,2,2,2,6,3,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,1,2,4,4,2,4,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,1,1,1,3,12,12,12,12,12,12,2,2,2,2,2,4,4,4,4,4,1,1,1,1,4,4,4,2,4,1,1,1,2,1,2,1,2,1,4,4,4,1,1,1,3,3,3,1,1,1,18,18,18,18,18,18,18,9,9,3,3,3,3,3"
25,1,Yappa bhaya agutte,Yappa bhaya agutte,"6,6,6,6,6,1,1,1,9,9,9,9,9,3,3,3,3,6"
